Description,Category,Categories
mwila ntambi kitwe copperbelt university cbu kitwe ha launched construction 1000seater auditorium k8 million cbu vicechancellor imasiku nyambe say building auditorium milestone enhance infrastructure learning environment higher learning institution said finished auditorium host academic conference 8230,education,"education, development"
melody mupeta kitwe united party national development upnd ha launched coordinated team ha tasked recruit 300 000 new party member copperbelt help mobilisation activity ahead 2026 general election campaign team dubbed “2246” ha established help garner support 8230,politics,"politics, development"
pa group charcoal trader cmml area kitwe’s chimwemwe township took grievance kitwe city council alleging forceful eviction trading site emotionally pleaded government intervention stressing sole reliance source income trader received notice vacate premise unidentified land surveyor claimingp pthe post hrefhttpsflavaradioandtvcomcharcoaltradersinchimwemwetownshipappealforgovernmentinterventionamidevictionthreatscharcoal trader chimwemwe township appeal government intervention amid eviction threatsa first appeared hrefhttpsflavaradioandtvcomflava radio tvap,politics,"politics, local news"
pecologist mutende simwanza ha raised alarm detrimental effect urbanisation biodiversity city like kitwe lusaka attributing phenomenon widespread destruction natural habitat driven urban development interview flava news mr simwanza highlighted adverse consequence urban expansion forest wetland ecosystem withinp pthe post hrefhttpsflavaradioandtvcomecologistwarnsofurbanisationsdireimpactonbiodiversityinzambiancitiesecologist warns urbanisation’s dire impact biodiversity zambian citiesa first appeared hrefhttpsflavaradioandtvcomflava radio tvap,local news,"development, local news"
pcopperbelt minister elisha matambo ha issued call mopani copper mine mcm address outstanding debt kitwe city council acknowledging mopani8217s significant contribution council rate mr matambo noted government ha recently facilitated reopening mining company light development mr matambo stated thatp pthe post hrefhttpsflavaradioandtvcomcopperbeltministerurgesmopanitosettledebtwithkitwecitycouncilcopperbelt minister urge mopani settle debt kitwe city councila first appeared hrefhttpsflavaradioandtvcomflava radio tvap,politics,"politics, development, local news, business news"
pworkers kitwe district urging zambia institute human resource management zihrm professional organisation established act no3 2022 conduct impromptu inspection private company copperbelt province following alleged workplace abuse interview flava news worker shared grievance detailing experience certain company kitwep pthe post hrefhttpsflavaradioandtvcomworkersinkitwecallforzihrminterventionamidallegedworkplaceabusesworkers kitwe call zihrm intervention amid alleged workplace abusesa first appeared hrefhttpsflavaradioandtvcomflava radio tvap,business,"career, business news"
pcouncillor francis kabuseni bupe ward kitwe8217s kamfinsa constituency ha raised concern need meticulous scrutiny every stage constituency development fund cdf project call come aftermath heavy rain caused significant damage blowing roof skill training centre construction hisp pthe post hrefhttpsflavaradioandtvcomcdffundedprojectsshouldbescrutinisedateverystageadviseskitwecivicleadercdf funded project scrutinised every stage – advises kitwe civic leadera first appeared hrefhttpsflavaradioandtvcomflava radio tvap,technology,development
pon 14th november 2023 kitwe city council issued site vacation notice mobile booth trader situated along oxford road town centre signed kitwe town clerk patrick kambita letter instructed trader vacate trading site 16th november 2023 following engagement meeting booth trader association 7th novemberp pthe post hrefhttpsflavaradioandtvcomkitwemobilemoneyboothoperatorscryfouloverloomingevictionkitwe mobile money booth operator cry foul looming evictiona first appeared hrefhttpsflavaradioandtvcomflava radio tvap,local news,"development, local news"
pa civic leader kitwe district ha spoken need explore improved method appointing speaker national assembly prevent issue perceived partiality ndeke ward councillor kitwe’s kamfinsa constituency davy kasengele conveyed flava news necessity consider subjecting appointment speaker top pthe post hrefhttpsflavaradioandtvcomcivicleaderproposesexploringimprovedmethodsforappointingspeakersofthenationalassemblycivic leader proposes exploring improved method appointing speaker national assemblya first appeared hrefhttpsflavaradioandtvcomflava radio tvap,technology,narcotics
pthe drug enforcement commission ha expressed concern high level counterfeit money circulation ha called member public wary transact foreign currency street come wake arrest six member organised criminal gang believed bep pthe post hrefhttpsflavaradioandtvcomdecclampsdownonorganisedcriminalganginkitwedec clamp organised criminal gang kitwea first appeared hrefhttpsflavaradioandtvcomflava radio tvap,technology,"narcotics, economy news"
